Year,Country,Population (in millions),Real GDP(in milllion $)
1980,Aruba,0.060095999,1020.158325
1980,Angola,8.929900169,25335.56836
1980,Anguilla,0.006702,78.45661926
1980,Albania,2.68123889,9050.260742
1980,United Arab Emirates,1.042384028,264067
1980,Argentina,28.10588837,111813.9609
1980,Antigua and Barbuda,0.073441997,419.1360168
1980,Australia,14.64911366,324801.1563
1980,Austria,7.609752178,134577.75
1980,Burundi,4.116816998,3617.510498
1980,Belgium,9.868994713,201185.1719
1980,Benin,3.717164993,7508.220215
1980,Burkina Faso,6.822843075,6696.185547
1980,Bangladesh,81.47086334,98328.91406
1980,Bulgaria,8.878774643,59977.42969
1980,Bahrain,0.359887987,8609.05957
1980,Bahamas,0.210660994,4932.156738
1980,Belize,0.144154996,602.4486084
1980,Bermuda,0.056992002,26039.80664
1980,Bolivia (Plurinational State of),5.589574814,12483.91504
1980,Brazil,121.1597595,646020
1980,Barbados,0.252193987,2911.020996
1980,Brunei Darussalam,0.193948999,16893.5
1980,Bhutan,0.409171999,761.5661621
1980,Botswana,1.001157999,2046.043213
1980,Central African Republic,2.279820919,2277.724609
1980,Canada,24.53742218,604152.125
1980,Switzerland,6.303609848,191792.2344
1980,Chile,11.26622581,74751.52344
1980,China,993.8773193,1813446.5
1980,C̫te d'Ivoire,8.293675423,19695.08398
1980,Cameroon,8.618353844,18841.67969
1980,D.R. of the Congo,26.35746193,52861.99609
1980,Congo,1.839934945,5909.290039
1980,Colombia,27.73789978,192873.5625
1980,Comoros,0.307828993,1196.633057
1980,Cabo Verde,0.286657006,460.5072632
1980,Costa Rica,2.389309883,18431.94141
1980,Cayman Islands,0.016162001,596.3068237
1980,Cyprus,0.508599997,7071.912109
1980,Germany,78.30065155,1529460.625
1980,Djibouti,0.358960003,1454.56543
1980,Dominica,0.075314,405.1455688
1980,Denmark,5.123945236,108531.8984
1980,Dominican Republic,5.809268951,21516.0625
1980,Algeria,19.33771515,203118.7188
1980,Ecuador,7.976445198,57156.46875
1980,Egypt,44.09914017,59315.64453
1980,Spain,37.79679489,543234.5
1980,Ethiopia,35.26489639,24899.02539
1980,Finland,4.788242817,90951.14844
1980,Fiji,0.635254979,3633.081055
1980,France,55.35782623,1240582.5
1980,Gabon,0.729158998,9553.130859
1980,United Kingdom,56.26547623,1116304
1980,Ghana,10.8020277,35407.11719
1980,Guinea,4.511901855,15004.95801
1980,Gambia,0.604368985,1635.213379
1980,Guinea-Bissau,0.800854027,1006.716003
1980,Equatorial Guinea,0.25532499,607.6244507
1980,Greece,9.634504318,137380.0938
1980,Grenada,0.089005001,323.3441162
1980,Guatemala,7.283459187,27285.17969
1980,"China, Hong Kong SAR",4.915466785,73174.25781
1980,Honduras,3.678286076,10129.86133
1980,Haiti,5.688836098,10020.02441
1980,Hungary,10.75476646,109717.4609
1980,Indonesia,148.0779266,327585.3125
1980,India,696.7835083,810137.25
1980,Ireland,3.434952974,43108.87891
1980,Iran (Islamic Republic of),38.66822052,121547.1016
1980,Iraq,13.6533556,84340.39844
1980,Iceland,0.228262007,5743.743164
1980,Israel,3.744667053,61987.48828
1980,Italy,56.41927719,1117222.875
1980,Jamaica,2.16304493,9150.036133
1980,Jordan,2.374422073,9883.50293
1980,Japan,117.8273544,2236475.75
1980,Kenya,16.26898956,33362.66016
1980,Cambodia,6.692107201,5528.17334
1980,Saint Kitts and Nevis,0.04321,318.1392212
1980,Republic of Korea,38.05042267,183812.2344
1980,Kuwait,1.372318029,77993.07813
1980,Lao People's DR,3.258143902,2635.168213
1980,Lebanon,2.605293036,14874.43262
1980,Liberia,1.888314009,3485.023682
1980,Saint Lucia,0.117987,782.9105225
1980,Sri Lanka,15.03585625,35231.60547
1980,Lesotho,1.31011796,2585.451172
1980,Luxembourg,0.364037991,8729
1980,"China, Macao SAR",0.238117993,3225.748779
1980,Morocco,20.01984787,53087.33984
1980,Madagascar,8.716552734,12701.28027
1980,Maldives,0.158384994,540.022583
1980,Mexico,69.36087036,851142.875
1980,Mali,7.090126038,4618.395996
1980,Malta,0.333274007,3171.270996
1980,Myanmar,33.36971283,29367.99414
1980,Mongolia,1.689622045,2838.537598
1980,Mozambique,11.84833145,7336.733398
1980,Mauritania,1.534085035,3682.674561
1980,Montserrat,0.01192,171.7730713
1980,Mauritius,0.966031015,5721.905273
1980,Malawi,6.163080215,7316.041504
1980,Malaysia,13.79812527,90517.19531
1980,Namibia,1.012671947,5881.39209
1980,Niger,5.988903999,8073.692871
1980,Nigeria,73.46072388,411231
1980,Nicaragua,3.249910116,16319.53711
1980,Netherlands,14.14841461,322817
1980,Norway,4.086075783,99120.58594
1980,Nepal,14.90216255,11090.05566
1980,New Zealand,3.146619081,51180.71094
1980,Oman,1.15437901,13300.85352
1980,Pakistan,78.06814575,162794.2031
1980,Panama,1.978577971,12303.15039
1980,Peru,17.35911942,68160.16406
1980,Philippines,47.39696884,151617.25
1980,Poland,35.53510666,221294.2813
1980,Portugal,9.804850578,101423.0234
1980,Paraguay,3.180629969,11032.99707
1980,State of Palestine,1.509183049,4322.236816
1980,Qatar,0.223774999,17726.54883
1980,Romania,22.6119709,140702.2031
1980,Rwanda,5.140716076,6105.721191
1980,Saudi Arabia,9.740598679,382842.9375
1980,Sudan,14.50746822,23961.7207
1980,Senegal,5.592646122,11377.88477
1980,Singapore,2.41170001,44254.37891
1980,Sierra Leone,3.365441084,3783.766357
1980,El Salvador,4.580704212,11723.16797
1980,Sao Tome and Principe,0.094949,246.6353302
1980,Suriname,0.362776995,2094.105469
1980,Sweden,8.316337585,164282.0469
1980,Eswatini,0.603371978,2048.29541
1980,Seychelles,0.066294,976.3562622
1980,Syrian Arab Republic,8.930773735,20728.50586
1980,Turks and Caicos Islands,0.007519,497.6207275
1980,Chad,4.512042046,3760.974365
1980,Togo,2.720839024,5994.869629
1980,Thailand,47.38532257,157532.9219
1980,Trinidad and Tobago,1.085307956,21973.5918
1980,Tunisia,6.368166924,28164.50195
1980,Turkey,43.97592163,337901.6875
1980,Taiwan,17.70453835,170902.1875
1980,U.R. of Tanzania: Mainland,18.68315697,33866.50781
1980,Uganda,12.54953957,9430.073242
1980,Uruguay,2.915777922,27169.98047
1980,United States,229.7630463,6698716
1980,St. Vincent and the Grenadines,0.100505002,418.3520203
1980,Venezuela (Bolivarian Republic of),15.34391594,162005.75
1980,British Virgin Islands,0.011002,82.18734741
1980,Viet Nam,54.37251282,56182.33984
1980,South Africa,29.76047134,266494.875
1980,Zambia,5.889229774,8413.195313
1980,Zimbabwe,7.164172173,18222.8457
